time,open,high,low,close,volume 
2020-12-08 09:07:00,124.51,124.54,124.5,124.52,10242
2020-12-08 09:06:00,124.51,124.55,124.5,124.51,15467
2020-12-08 09:05:00,124.5,124.52,124.5,124.5,18028
2020-12-08 09:04:00,124.56,124.56,124.5012,124.5023,9471
2020-12-08 09:03:00,124.56,124.56,124.55,124.55,13577
2020-12-08 09:02:00,124.5399,124.56,124.5103,124.56,15986
2020-12-08 09:01:00,124.56,124.56,124.52,124.52,14037
2020-12-08 09:00:00,124.52,124.57,124.52,124.56,9004
2020-12-08 08:59:00,124.56,124.56,124.5,124.52,26558
2020-12-08 08:58:00,124.56,124.58,124.55,124.55,15927
2020-12-08 08:57:00,124.5899,124.5899,124.52,124.55,7863
2020-12-08 08:56:00,124.55,124.64,124.55,124.58,6941
2020-12-08 08:55:00,124.6,124.6,124.52,124.5483,14821
2020-12-08 08:54:00,124.69,124.7,124.6,124.6,9532
2020-12-08 08:53:00,124.64,124.7,124.6,124.69,24459
2020-12-08 08:52:00,124.64,124.68,124.6,124.67,14980
2020-12-08 08:51:00,124.6601,124.67,124.51,124.6001,20104
2020-12-08 08:50:00,124.7165,124.7165,124.66,124.67,21476
2020-12-08 08:49:00,124.73,124.81,124.66,124.72,16185
2020-12-08 08:48:00,124.72,124.73,124.61,124.72,49371
2020-12-08 08:47:00,124.76,124.89,124.7,124.71,42072
2020-12-08 08:46:00,124.86,124.87,124.75,124.75,34025
2020-12-08 08:45:00,124.89,124.96,124.77,124.89,57997
2020-12-08 08:44:00,124.86,124.9,124.81,124.89,34962
2020-12-08 08:43:00,124.86,124.9,124.8,124.86,30836
2020-12-08 08:42:00,124.76,124.9,124.75,124.86,49564
2020-12-08 08:41:00,124.6999,124.8,124.51,124.78,63158
2020-12-08 08:40:00,124.67,124.78,124.6,124.69,41846
2020-12-08 08:39:00,124.49,124.8,124.46,124.61,83876
2020-12-08 08:38:00,124.62,124.88,124.39,124.46,122321
2020-12-08 08:37:00,124.25,124.65,124.24,124.6,90252
2020-12-08 08:36:00,123.9388,124.27,123.9,124.27,70101
2020-12-08 08:35:00,123.8,123.97,123.75,123.91,18758
2020-12-08 08:34:00,123.84,123.87,123.82,123.84,15065
2020-12-08 08:33:00,123.78,123.87,123.72,123.84,15656
2020-12-08 08:32:00,123.72,124.0,123.71,123.86,528208
2020-12-08 08:31:00,123.5,123.74,123.47,123.74,14819
2020-12-08 08:30:00,123.4724,123.49,123.47,123.47,592
2020-12-08 08:29:00,123.47,123.49,123.47,123.49,1959
2020-12-08 08:28:00,123.44,123.46,123.44,123.46,2221
2020-12-08 08:27:00,123.42,123.45,123.42,123.44,750
2020-12-08 08:26:00,123.4201,123.4201,123.42,123.42,466
2020-12-08 08:25:00,123.42,123.44,123.42,123.42,4902
2020-12-08 08:24:00,123.42,123.4202,123.42,123.42,1941
2020-12-08 08:23:00,123.43,123.46,123.43,123.4304,3798
2020-12-08 08:22:00,123.41,123.4301,123.41,123.43,3206
2020-12-08 08:21:00,123.46,123.46,123.4118,123.46,3960
2020-12-08 08:20:00,123.48,123.49,123.47,123.49,3101
2020-12-08 08:19:00,123.55,123.57,123.48,123.48,5736
2020-12-08 08:18:00,123.51,123.55,123.51,123.55,4118
2020-12-08 08:17:00,123.45,123.51,123.45,123.51,6211
2020-12-08 08:16:00,123.49,123.49,123.4501,123.4501,3890
2020-12-08 08:15:00,123.4604,123.49,123.46,123.46,1786
2020-12-08 08:14:00,123.48,123.5001,123.47,123.49,9159
2020-12-08 08:13:00,123.42,123.46,123.41,123.45,5255
2020-12-08 08:12:00,123.4399,123.4399,123.41,123.42,1675
2020-12-08 08:11:00,123.45,123.4599,123.41,123.41,2399
2020-12-08 08:10:00,123.44,123.46,123.44,123.46,3517
2020-12-08 08:09:00,123.45,123.45,123.44,123.44,2040
2020-12-08 08:08:00,123.43,123.43,123.43,123.43,552
2020-12-08 08:07:00,123.4,123.43,123.4,123.43,2601
2020-12-08 08:06:00,123.42,123.42,123.4,123.4,1002
2020-12-08 08:05:00,123.421,123.421,123.421,123.421,415
2020-12-08 08:04:00,123.42,123.43,123.42,123.43,1833
2020-12-08 08:03:00,123.3701,123.45,123.37,123.43,2507
2020-12-08 08:02:00,123.45,123.45,123.37,123.38,6174
2020-12-08 08:01:00,123.3391,123.46,123.0,123.46,86911
2020-12-08 08:00:00,123.39,123.4,123.39,123.4,6222
2020-12-08 07:59:00,123.37,123.4,123.37,123.4,1615
2020-12-08 07:58:00,123.35,123.35,123.33,123.33,1397
2020-12-08 07:57:00,123.37,123.37,123.37,123.37,953
2020-12-08 07:56:00,123.35,123.37,123.35,123.37,522
2020-12-08 07:55:00,123.35,123.37,123.35,123.37,1387
2020-12-08 07:54:00,123.33,123.33,123.32,123.33,949
2020-12-08 07:53:00,123.33,123.34,123.33,123.34,848
